month,dow,hour,num_trips,trip_dur,age
1,1,0,56,12.41,35.46
1,1,1,51,17.81,32.88
1,1,2,43,13.94,34.02
1,1,3,11,17.28,36.55
1,1,4,6,40.36,30.67
1,1,5,12,13.59,48.33
1,1,6,33,40.23,36.73
1,1,7,33,53.73,38.73
1,1,8,110,9.87,34.88
1,1,9,172,10.84,34.45
1,1,10,296,15.46,33.88
1,1,11,321,12.22,33.82
1,1,12,441,18.11,34.12
1,1,13,462,43.87,34.17
1,1,14,457,35.25,33.85
1,1,15,450,31.85,35.14
1,1,16,462,18.61,33.27
1,1,17,332,58.73,32.34
1,1,18,281,30.42,31.08
1,1,19,228,10.26,31.26
1,1,20,188,11.99,30.69
1,1,21,123,12.34,32.6
1,1,22,91,10.03,32.57
1,1,23,64,12.92,35.33
1,2,0,28,10.59,33.79
1,2,1,16,12.59,37.44
1,2,2,7,15.42,36.43
1,2,3,7,16.63,42.57
1,2,4,6,33.55,36.5
1,2,5,73,10.89,33.93
1,2,6,210,14.33,38.42
1,2,7,553,11,37.01
1,2,8,1300,14.3,36.19
1,2,9,815,11.55,36.1
1,2,10,331,14.96,34.84
1,2,11,289,12.61,37.29
1,2,12,359,15.5,36.27
1,2,13,349,12.88,36.11
1,2,14,275,13.65,36.39
1,2,15,393,12.91,37.72
1,2,16,766,15.34,38.4
1,2,17,1261,12.77,37.52
1,2,18,896,12.98,34.13
1,2,19,550,13.12,32.58
1,2,20,387,16.9,32.92
1,2,21,213,12.56,32.95
1,2,22,155,507.62,33.31
1,2,23,70,427.97,31.59
1,3,0,38,9.55,32.16
1,3,1,34,11.24,33.32
1,3,2,21,27.19,36.48
1,3,3,12,15,39.75
1,3,4,6,15.18,36.17
1,3,5,73,16.26,34.59
1,3,6,231,9.83,36.81
1,3,7,566,10.47,37.4
1,3,8,1470,30.32,36.42
1,3,9,970,12.49,35.33
1,3,10,434,16.6,35.02
1,3,11,382,13.89,36.45
1,3,12,451,62.08,37.48
1,3,13,568,17.37,36.71
1,3,14,477,18.66,37.27
1,3,15,601,15.46,37.7
1,3,16,1016,16.38,37.69
1,3,17,1505,14.4,36.58
1,3,18,1092,18.3,34.32
1,3,19,704,15.5,33.72
1,3,20,491,12.9,34.35
1,3,21,356,16.7,31.13
1,3,22,197,11.26,34.51
1,3,23,85,11.61,31.93
1,4,0,56,15.96,31.84
1,4,1,22,13.5,34.86
1,4,2,20,382.06,39.85
1,4,3,10,38.85,41.9
1,4,4,10,96.58,35.2
1,4,5,92,17.31,33.09
1,4,6,247,11.88,37.43
1,4,7,740,12.62,38.03
