"","month","dow","hour","num_trips","trip_dur","age"
"1",1,1,0,50,18.99,32.92
"2",1,1,1,52,65.61,31.94
"3",1,1,2,42,53.44,36.79
"4",1,1,3,11,10.58,35.36
"5",1,1,4,6,17.58,43.33
"6",1,1,5,11,14.33,43.09
"7",1,1,6,28,9.68,34.75
"8",1,1,7,38,12.48,39.29
"9",1,1,8,133,12.09,34.33
"10",1,1,9,195,14.59,35.59
"11",1,1,10,309,12.63,33.6
"12",1,1,11,382,20.77,34.3
"13",1,1,12,434,22.17,33.91
"14",1,1,13,458,24.99,34.45
"15",1,1,14,489,24.87,34.9
"16",1,1,15,402,17.19,33.65
"17",1,1,16,450,26.6,33.01
"18",1,1,17,312,11.76,31.52
"19",1,1,18,254,60.01,30.49
"20",1,1,19,222,11.01,31.5
"21",1,1,20,179,10.93,30.98
"22",1,1,21,111,9.84,32.86
"23",1,1,22,93,20.19,33.98
"24",1,1,23,52,10.76,33.98
"25",1,2,0,24,65.48,32.12
"26",1,2,1,16,13.95,40.5
"27",1,2,2,11,504.11,39.82
"28",1,2,3,3,9.28,36
"29",1,2,4,15,24.74,37.13
"30",1,2,5,79,11.12,33.23
"31",1,2,6,257,10.33,39.04
"32",1,2,7,658,12.18,36.62
"33",1,2,8,1352,12.54,36.19
"34",1,2,9,686,32.17,35.89
"35",1,2,10,293,12.13,34.84
"36",1,2,11,304,15.01,37.87
"37",1,2,12,351,11.23,35.96
"38",1,2,13,341,54.39,36.16
"39",1,2,14,298,13.92,36.01
"40",1,2,15,432,13.92,37.95
"41",1,2,16,865,11.5,38.76
"42",1,2,17,1236,13.21,36.78
"43",1,2,18,830,17.74,33.67
"44",1,2,19,504,12.8,32.55
"45",1,2,20,360,9.98,32.87
"46",1,2,21,193,9.98,33.45
"47",1,2,22,145,12.99,33
"48",1,2,23,52,12.47,30.56
"49",1,3,0,38,10.6,32.92
"50",1,3,1,39,13.91,33.95
"51",1,3,2,14,51.9,38.14
"52",1,3,3,10,12.44,35.3
"53",1,3,4,9,105.9,39.78
"54",1,3,5,79,11.03,34.43
"55",1,3,6,281,14.22,37.17
"56",1,3,7,748,14.07,37.13
"57",1,3,8,1531,16.26,36.16
"58",1,3,9,792,20.38,35.47
"59",1,3,10,403,18,35.26
"60",1,3,11,415,16.26,36.38
"61",1,3,12,492,244.8,37.49
"62",1,3,13,545,39.36,37.33
"63",1,3,14,499,31.37,36.69
"64",1,3,15,634,15.56,37.81
"65",1,3,16,1077,12.62,37.66
"66",1,3,17,1523,14.95,36.1
"67",1,3,18,1003,12.1,34.15
"68",1,3,19,629,15.02,33.74
"69",1,3,20,466,26.77,33.88
"70",1,3,21,326,18.9,31.44
"71",1,3,22,167,27.29,34.78
"72",1,3,23,89,13.82,31.54
"73",1,4,0,39,27.12,29.95
"74",1,4,1,21,922.98,38.86
"75",1,4,2,17,35.19,39.35
"76",1,4,3,4,11.64,35.5
"77",1,4,4,14,15.57,40.14
"78",1,4,5,108,9.53,33.02
"79",1,4,6,298,16.11,38.12
"80",1,4,7,914,12.22,37.55
"81",1,4,8,1960,13.32,36.47
"82",1,4,9,1058,15.97,36.15
"83",1,4,10,515,12.16,36.27
"84",1,4,11,466,26.51,36.14
"85",1,4,12,560,12.67,36.58
"86",1,4,13,472,15.01,35.78
"87",1,4,14,475,13.52,36.88
"88",1,4,15,686,14.35,37.82
"89",1,4,16,1329,25.88,38.29
"90",1,4,17,1956,23.76,36.42
"91",1,4,18,1233,14.14,34.86
"92",1,4,19,692,11.58,33.5
"93",1,4,20,451,13.13,33.16
"94",1,4,21,339,10.91,33.45
"95",1,4,22,236,28.19,32.74
"96",1,4,23,103,24.21,32.93
"97",1,5,0,54,13.23,31.87
"98",1,5,1,32,17.72,35.94
"99",1,5,2,18,16.23,48.22
"100",1,5,3,9,9.67,38.33
"101",1,5,4,9,107.05,39
"102",1,5,5,94,116.26,36.79
"103",1,5,6,321,10.24,38.91
"104",1,5,7,917,14.67,38.04
"105",1,5,8,1727,14.3,35.83
"106",1,5,9,884,11.39,35.9
"107",1,5,10,448,11.65,35.09
"108",1,5,11,442,23.67,35.82
"109",1,5,12,457,21.81,36.26
"110",1,5,13,396,13.79,37.14
"111",1,5,14,430,22.62,36.18
"112",1,5,15,552,14.05,38.42
"113",1,5,16,1164,26.11,39.4
"114",1,5,17,1573,18.7,36.95
"115",1,5,18,1079,12.66,34.43
"116",1,5,19,733,12.37,32.43
"117",1,5,20,499,10.78,33.83
"118",1,5,21,403,21.28,32.49
"119",1,5,22,249,29.93,33.55
"120",1,5,23,131,10.42,33.41
"121",1,6,0,59,11.37,33.31
"122",1,6,1,37,17.92,31.65
"123",1,6,2,23,12.2,34.87
"124",1,6,3,4,16.05,50.5
"125",1,6,4,11,9.75,42.09
"126",1,6,5,86,13.07,33.98
"127",1,6,6,281,10.22,38.01
"128",1,6,7,852,12.13,37.78
"129",1,6,8,1726,13.03,36.36
"130",1,6,9,895,11.41,35.33
"131",1,6,10,484,13.15,35.43
"132",1,6,11,513,16.18,37.35
"133",1,6,12,550,50.48,37.06
"134",1,6,13,562,13.1,37.3
"135",1,6,14,548,12.83,36.95
"136",1,6,15,701,14.12,37.8
"137",1,6,16,1187,49.3,38.45
