id,station_name,lon,lat
1,18 Dorrance Warehouse,-71.075978,42.387151
3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,-71.10061884,42.34011512
4,Tremont St at E Berkeley St,-71.069616,42.345392
5,Northeastern University - North Parking Lot,-71.090179,42.341814
6,Cambridge St at Joy St,-71.0653062,42.36121165
7,Fan Pier,-71.0445714,42.35339051
8,Union Square - Brighton Ave at Cambridge St,-71.137313,42.353334
9,Commonwealth Ave at Agganis Way,-71.11903489,42.35169202
10,B.U. Central - 725 Comm. Ave.,-71.108279,42.350406
11,Longwood Ave at Binney St,-71.1065,42.338629
12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,-71.08798563,42.33624445
13,Boston Medical Center - E Concord St at Harrison Ave,-71.06880777,42.33671641
14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,-71.10286117,42.33741748
15,Brighton Mills - 370 Western Ave,-71.13776207,42.36154571
16,Back Bay T Stop - Dartmouth St at Stuart St,-71.07657015,42.34807412
17,Soldiers Field Park - 111 Western Ave,-71.1182757,42.36426344
19,Park Dr at Buswell St,-71.105301,42.347241
20,Aquarium T Stop - 200 Atlantic Ave,-71.05142981,42.35991176
21,Prudential Center - Belvedere St,-71.08065777,42.34652004
22,South Station - 700 Atlantic Ave,-71.055547,42.352175
23,Boston City Hall - 28 State St,-71.057629,42.35892
24,Seaport Square - Seaport Blvd at Northern Ave,-71.04436085,42.35148193
25,South End Library - Tremont St at W Newton St,-71.076847,42.341332
26,Washington St at Waltham St,-71.068922,42.341522
27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,-71.095171,42.331184
29,Innovation Lab - 125 Western Ave at Batten Way,-71.124565,42.363732
30,Brigham Circle - Francis St at Huntington Ave,-71.10407918,42.33462893
31,Seaport Hotel - Congress St at Seaport Ln,-71.04167744,42.34881026
33,Kenmore Square,-71.097009,42.348706
35,Arch St at Franklin St,-71.05822917,42.35533502
36,Copley Square - Dartmouth St at Boylston St,-71.07738554,42.34993464
37,New Balance - 20 Guest St,-71.1467354,42.35732922
39,Washington St at Rutland St,-71.07404083,42.3385146
40,Lewis Wharf at Atlantic Ave,-71.050877,42.363871
41,Packard's Corner - Commonwealth Ave at Brighton Ave,-71.123831,42.352261
42,Boylston St at Arlington St,-71.06770543,42.35256693
43,Rowes Wharf at Atlantic Ave,-71.050699,42.357143
44,Congress St at North St,-71.05752244,42.36041775
46,Christian Science Plaza - Massachusetts Ave at Westland Ave,-71.08582377,42.34366582
47,Cross St at Hanover St,-71.056067,42.362811
48,Post Office Square - Pearl St at Milk St,-71.055407,42.356755
49,Stuart St at Charles St,-71.066289,42.351146
50,Boylston St at Berkeley St,-71.07329249,42.35114198
51,Washington St at Lenox St,-71.07903779,42.33509899
52,Newbury St at Hereford St,-71.085954,42.348717
53,Beacon St at Massachusetts Ave,-71.08981088,42.35082681
54,Tremont St at West St,-71.063348,42.354979
55,Boylston St at Massachusetts Ave,-71.088088,42.347265
56,Dudley Square - Dudley St at Warren St,-71.08416483,42.32854046
57,Columbus Ave at Massachusetts Ave,-71.08138848,42.34054262
58,Mugar Way at Beacon St,-71.0728687,42.35553628
59,Chinatown Gate Plaza,-71.059367,42.351356
60,Charles Circle - Charles St at Cambridge St,-71.07086598,42.360185
61,Boylston St at Fairfield St,-71.082383,42.348762
63,Dorchester Ave at Gillette Park,-71.05737627,42.34404051
64,Congress St at Sleeper St,-71.04930013,42.3510045
65,Boston Convention and Exhibition Center - Summer St at West Side Dr,-71.04535997,42.34776345
66,Allston Green District - Griggs St at Commonwealth Ave,-71.13275303,42.34922469
67,MIT at Mass Ave / Amherst St,-71.093198,42.3581
68,Central Square at Mass Ave / Essex St,-71.1031,42.36507
69,Coolidge Corner - Beacon St at Centre St,-71.123338,42.341598
70,Harvard Kennedy School at Bennett St / Eliot St,-71.12188071,42.3722168
71,Conway Park - Somerville Avenue,-71.107593,42.383405
72,One Broadway / Kendall Sq at Main St / 3rd St,-71.08311072,42.36224179
73,Harvard Square at Brattle St / Eliot St,-71.120886,42.373231
74,Harvard Square at Mass Ave/ Dunster,-71.118579,42.373268
75,Lafayette Square at Mass Ave / Main St / Columbia St,-71.10057324,42.36346469
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,-71.105495,42.366426
77,Somerville City Hall,-71.09812,42.386844
78,Union Square - Somerville,-71.09530799,42.37959526
79,Beacon St at Washington / Kirkland,-71.105668,42.37842
80,MIT Stata Center at Vassar St / Main St,-71.09115601,42.36213123
81,Chinatown T Stop,-71.062679,42.352409
82,Beacon St at Tappan St,-71.13894682,42.3382668
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,-71.076472,42.366981
85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,-71.048927,42.378338
86,Brookline Village - Pearl Street at MBTA,-71.116205,42.332799
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,-71.114214,42.366621
88,Inman Square at Vellucci Plaza / Hampshire St,-71.101427,42.374035
89,Harvard Law School at Mass Ave / Jarvis St,-71.119945,42.379011
90,Lechmere Station at Cambridge St / First St,-71.076529,42.370677
91,One Kendall Square at Hampshire St / Portland St,-71.09169,42.366277
92,University of Massachusetts Boston - Integrated Sciences Complex,-71.041269,42.314507
93,JFK/UMass T Stop,-71.05118036,42.32033974
94,Main St at Austin St,-71.064608,42.375603
95,Cambridge St - at Columbia St / Webster Ave,-71.094445,42.372969
96,Cambridge Main Library at Broadway / Trowbridge St,-71.111075,42.373379
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,-71.11714125,42.36919032
98,Warren St at Chelsea St,-71.060292,42.371848
99,Wilson Square,-71.113341,42.385582
100,Davis Square,-71.123024,42.396969
101,Ball Sq,-71.11102574,42.39915589
102,Powder House Circle - Nathan Tufts Park,-71.116772,42.400877
103,JFK Crossing at Harvard St. / Thorndike St.,-71.128374,42.346563
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,-71.125107,42.380287
105,Lower Cambridgeport at Magazine St / Riverside Rd,-71.11387163,42.3572185
106,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,-71.075354,42.325333
107,Ames St at Main St,-71.08822,42.3625
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,-71.116865,42.377945
109,TD Garden - West End Park,-71.06446669,42.36590788
110,Harvard University Gund Hall at Quincy St / Kirkland S,-71.114025,42.376369
111,Packard Ave at Powderhouse Blvd,-71.123413,42.40449
112,Clarendon Hill at Broadway,-71.132446,42.406302
113,Andrew T Stop - Dorchester Ave at Dexter St,-71.05701685,42.33047365
114,Teele Square,-71.12653291,42.40203828
115,Porter Square Station,-71.119084,42.387995
116,359 Broadway - Broadway at Fayette Street,-71.104412,42.370803
117,Binney St / Sixth St,-71.08688294,42.36616223
118,Linear Park - Mass. Ave. at Cameron Ave.,-71.130516,42.397828
119,South Boston Library - 646 E Broadway,-71.03877,42.335741
120,Beacon St at Charles St,-71.069849,42.356052
121,W Broadway at Dorchester St,-71.045859,42.335693
122,Burlington Ave at Brookline Ave,-71.100694,42.345733
124,Curtis Hall - South St at Centre St,-71.11543,42.309054
125,Hyde Square - Barbara St at Centre St,-71.10984161,42.32176526
126,Egleston Square - Atherton St at Washington St,-71.098634,42.315692
128,E Cottage St at Columbia Rd,-71.06198,42.320561
129,Hayes Square - Vine St at Moulton St,-71.056605,42.377022
130,Upham's Corner,-71.06537004,42.31727474
131,Jackson Square T Stop,-71.10014141,42.32293117
133,Green Street T Stop - Green St at Amory St,-71.107341,42.310579
134,Boylston St at Dartmouth St,-71.07655,42.350413
135,ID Building East,-71.028664,42.344827
136,ID Building West,-71.031614,42.344796
137,Magoun Square at Trum Field,-71.107818,42.398365
138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,-71.066498,42.326599
139,Dana Park,-71.10809952,42.36178044
140,Danehy Park,-71.132788,42.388966
141,Kendall Street,-71.08216792,42.36356016
142,Alewife Station at Russell Field,-71.139459,42.396105
143,EF - North Point Park,-71.069957,42.369885
144,Rogers St & Land Blvd,-71.07699394,42.36575798
145,Rindge Avenue - O'Neill Library,-71.129042,42.392766
146,Murphy Skating Rink - 1880 Day Blvd,-71.023739,42.336448
149,175 N Harvard St,-71.129164,42.363796
150,State Street at Channel Center,-71.052608,42.344137
151,Surface Rd at India St,-71.052163,42.358155
152,Ink Block - Harrison Ave at Herald St,-71.063187,42.345901
156,Somerville Hospital,-71.1096257,42.39088802
157,Seaport Blvd at Sleeper St,-71.04817357,42.35317809
159,S Huntington Ave at Heath St,-71.1108917,42.32760387
160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,-71.09627098,42.33758601
161,W Broadway at D St,-71.0514432,42.3391085
162,Franklin Park - Seaver St at Humbolt Ave,-71.092225,42.309796
163,The Lawn on D,-71.044024,42.344792
167,Ryan Playground - Dorchester Ave at Harbor View St,-71.056664,42.317642
169,Edwards Playground - Main St at Eden St,-71.068607,42.378965
170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,-71.085347,42.303469
171,Bunker Hill Community College,-71.06905997,42.37408991
173,Savin Hill T Stop - S Sydney St at Bay St,-71.0539,42.3106
174,Washington St at Brock St,-71.16031677,42.34895285
175,Brighton Center - Washington St at Cambridge St,-71.15027189,42.34894857
176,Lesley University,-71.11901879,42.38674802
177,University Park,-71.10006094,42.36264779
178,MIT Pacific St at Purrington St,-71.10129476,42.3595732
179,MIT Vassar St,-71.10394478,42.35560121
180,Mt Auburn,-71.13320231,42.37478629
181,Huron Ave At Vassal Lane,-71.13426981,42.38165061
182,Museum of Science,-71.07116282,42.36769018
183,Alewife MBTA at Steel Place,-71.14260614,42.39558846
184,Sidney Research Campus/ Erie Street at Waverly,-71.10393405,42.35775309
185,Third at Binney,-71.08277142,42.36544486
186,Congress St at Northern Ave,-71.03764,42.3481
187,Cypress St at Clark Playground,-71.12536222,42.32784317
188,Foss Park,-71.09039426,42.39108438
189,Kendall T,-71.08495474,42.36242784
190,Nashua Street at Red Auerbach Way,-71.064263,42.365673
191,Tappan St at Brookline Hills MBTA,-71.12845883,42.33209606
192,Purchase St at Pearl St,-71.053181,42.354659
193,Brookline Town Hall,-71.12046447,42.33376473
194,Broadway St at Mt Pleasant St,-71.0782814,42.38614141
195,Child St at North St,-71.07249312,42.37150494
196,Roxbury YMCA - Warren St at MLK Blvd,-71.08243078,42.31787329
197,MLK Blvd at Washington St,-71.09126061,42.32143814
199,Upham's Corner T Stop - Magnolia St at Dudley St,-71.06978148,42.31869734
200,Washington St at Melnea Cass Blvd,-71.081198,42.332817
201,NCAAA - Walnut Ave at Crawford St,-71.091946,42.316902
202,Grove Hall Library - 41 Geneva Ave,-71.080952,42.30791
203,Columbia Rd at Ceylon St,-71.0729,42.309572
204,Walnut Ave at Warren St,-71.083235,42.324081
205,Bowdoin St at Quincy St,-71.06512249,42.30785224
206,Government Center - Cambridge St at Court St,-71.05960783,42.35980252
208,Oak Square - 615 Washington St,-71.166491,42.35057
209,Chelsea St at Saratoga St,-71.027448,42.379772
210,Bennington St at Byron St,-71.01619095,42.38353252
211,Piers Park,-71.03497177,42.36489293
212,Maverick Square - Lewis Mall,-71.03977829,42.36884408
213,East Boston Neighborhood Health Center - 20 Maverick Square,-71.039431,42.369536
214,Airport T Stop - Bremen St at Brooks St,-71.03277501,42.37411262
215,The Eddy - New St at Sumner St,-71.044201,42.370744
216,Glendon St at Condor St,-71.03024304,42.38240378
217,Orient Heights T Stop - Bennington St at Saratoga St,-71.006098,42.386781
218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,-71.04569256,42.351586
219,Boston East - 126 Border St,-71.04102008,42.37331213
221,Verizon Innovation Hub 10 Ware Street,-71.11305356,42.37250865
222,Troy Boston,-71.062256,42.343749
224,Fresh Pond Reservation,-71.14347895,42.38267828
225,Cambridge Dept. of Public Works -147 Hampshire St.,-71.09759867,42.37119728
226,Commonwealth Ave At Babcock St,-71.12126246,42.35154735
227,Silber Way,-71.10057592,42.349496
228,One Memorial Drive,-71.08043551,42.36161932
232,Four Corners - 157 Washington St,-71.07929528,42.30412793
233,St Mary's,-71.10728681,42.34619708
234,Broadway at Central St,-71.09850592,42.3951715
235,East Somerville Library (Broadway and Illinois),-71.08318716,42.38762811
236,Assembly Square T,-71.07746601,42.39223284
239,Community Path at Cedar Street,-71.11133695,42.39407224
